"","ens_gene_5"
"693","ENSG00000156171"
"694","ENSG00000134255"
"695","ENSG00000162777"
"696","ENSG00000085465"
"697","ENSG00000260948"
"698","ENSG00000243960"
"699","ENSG00000116455"
"700","ENSG00000116459"
"701","ENSG00000143110"
"702","ENSG00000121933"
"703","ENSG00000282608"
"704","ENSG00000116473"
"705","ENSG00000231346"
"706","ENSG00000197852"
"707","ENSG00000064703"
"708","ENSG00000007341"
"709","ENSG00000116489"
"710","ENSG00000155363"
"711","ENSG00000155366"
"712","ENSG00000155380"
"713","ENSG00000226419"
"714","ENSG00000198799"
"715","ENSG00000081026"
"716","ENSG00000116793"
"717","ENSG00000232450"
"718","ENSG00000081019"
"719","ENSG00000134242"
"720","ENSG00000188761"
"721","ENSG00000134262"
"722","ENSG00000118655"
"723","ENSG00000163349"
"724","ENSG00000197323"
"725","ENSG00000116752"
"726","ENSG00000213281"
"727","ENSG00000009307"
"728","ENSG00000052723"
"729","ENSG00000173218"
"730","ENSG00000163393"
"731","ENSG00000163399"
"732","ENSG00000203865"
"733","ENSG00000224950"
"734","ENSG00000116815"
"735","ENSG00000177173"
"736","ENSG00000134256"
"737","ENSG00000116830"
"738","ENSG00000198162"
"739","ENSG00000183508"
"740","ENSG00000196505"
"741","ENSG00000065183"
"742","ENSG00000116874"
"743","ENSG00000231365"
"744","ENSG00000143067"
"745","ENSG00000092621"
"746","ENSG00000261662"
"747","ENSG00000134250"
"748","ENSG00000265808"
"749","ENSG00000223804"
"750","ENSG00000270231"
"751","ENSG00000275131"
"752","ENSG00000273136"
"753","ENSG00000275538"
"754","ENSG00000226067"
"755","ENSG00000277610"
"756","ENSG00000198019"
"757","ENSG00000188610"
"758","ENSG00000171943"
"759","ENSG00000263590"
"760","ENSG00000265531"
"761","ENSG00000263513"
"762","ENSG00000270872"
"763","ENSG00000266338"
"764","ENSG00000196369"
"765","ENSG00000215784"
"766","ENSG00000272419"
"767","ENSG00000276216"
"768","ENSG00000162825"
"769","ENSG00000272150"
"770","ENSG00000117262"
"771","ENSG00000265491"
"772","ENSG00000186141"
"773","ENSG00000186364"
"774","ENSG00000131788"
"775","ENSG00000198483"
"776","ENSG00000131779"
"777","ENSG00000265241"
"778","ENSG00000271601"
"779","ENSG00000272031"
"780","ENSG00000121851"
"781","ENSG00000265972"
"782","ENSG00000271425"
"783","ENSG00000264343"
"784","ENSG00000273768"
"785","ENSG00000268043"
"786","ENSG00000131791"
"787","ENSG00000131781"
"788","ENSG00000180867"
"789","ENSG00000131778"
"790","ENSG00000116128"
"791","ENSG00000188092"
"792","ENSG00000274372"
"793","ENSG00000263956"
"794","ENSG00000274020"
"795","ENSG00000274210"
"796","ENSG00000270629"
"797","ENSG00000177144"
"798","ENSG00000178104"
"799","ENSG00000269713"
"800","ENSG00000274265"
"801","ENSG00000271383"
"802","ENSG00000277147"
"803","ENSG00000275557"
"804","ENSG00000206828"
"805","ENSG00000150337"
"806","ENSG00000203814"
"807","ENSG00000183598"
"808","ENSG00000270882"
"809","ENSG00000203811"
"810","ENSG00000203812"
"811","ENSG00000220323"
"812","ENSG00000261716"
"813","ENSG00000272993"
"814","ENSG00000203819"
"815","ENSG00000272196"
"816","ENSG00000203852"
"817","ENSG00000270276"
"818","ENSG00000184678"
"819","ENSG00000184260"
"820","ENSG00000184270"
"821","ENSG00000143368"
"822","ENSG00000264522"
"823","ENSG00000136631"
