"","distance","condition","norm","proportion"
"2136",71200000,"mig5",0.58812445473,0.000216129931233874
"2137",71300000,"control",0.63697791093,0.000160091484879567
"2138",71300000,"mig14",0.6408780154,0.000143524634265879
"2139",71300000,"mig5",0.5304515579,0.00019493571098733
"2140",71400000,"control",0.6093534523,0.00015314863721533
"2141",71400000,"mig14",0.6813845016,0.000152596062022099
"2142",71400000,"mig5",0.5546616767,0.000203832690647545
"2143",71500000,"control",0.6231679857,0.000156620640132504
"2144",71500000,"mig14",0.642027049,0.00014378196034547
"2145",71500000,"mig5",0.5101743056,0.000187484020941177
"2146",71600000,"control",0.582732931,0.00014645810884683
"2147",71600000,"mig14",0.6342234361,0.000142034341203431
"2148",71600000,"mig5",0.6203505202,0.00022797269216305
"2149",71700000,"control",0.6366630477,0.000160012350389721
"2150",71700000,"mig14",0.5938803395,0.000132999504548824
"2151",71700000,"mig5",0.6014294131,0.000221019372090228
"2152",71800000,"control",0.57433256475,0.000144346847084972
"2153",71800000,"mig14",0.5817149154,0.000130275057770053
"2154",71800000,"mig5",0.5140289367,0.000188900559818067
"2155",71900000,"control",0.6155118664,0.000154696429753901
"2156",71900000,"mig14",0.67981812627,0.000152245272260305
"2157",71900000,"mig5",0.5283731466,0.000194171915352355
"2158",7.2e+07,"control",0.6336243494,0.00015924863517354
"2159",7.2e+07,"mig14",0.627278821,0.000140479094622344
"2160",7.2e+07,"mig5",0.5015106245,0.000184300203663531
"2161",72100000,"control",0.58341140187,0.000146628628745812
"2162",72100000,"mig14",0.60585187913,0.000135680530899716
"2163",72100000,"mig5",0.5326820455,0.00019575539316128
"2164",72200000,"control",0.7152514942,0.0001797639632458
"2165",72200000,"mig14",0.5903706465,0.000132213508786594
"2166",72200000,"mig5",0.51362416574,0.000188751810486107
"2167",72300000,"control",0.5926463805,0.000148949653409837
"2168",72300000,"mig14",0.64777095268,0.000145068307598958
"2169",72300000,"mig5",0.52977224747,0.000194686071110359
"2170",72400000,"control",0.5960663719,0.000149809198916999
"2171",72400000,"mig14",0.59857637,0.000134051180599208
"2172",72400000,"mig5",0.53351229206,0.000196060500576006
"2173",72500000,"control",0.6234674926,0.000156695915120113
"2174",72500000,"mig14",0.6131118567,0.000137306402907297
"2175",72500000,"mig5",0.5309758757,0.000195128392602841
"2176",72600000,"control",0.6090590052,0.000153074633905876
"2177",72600000,"mig14",0.6304436534,0.000141187858851742
"2178",72600000,"mig5",0.5444500681,0.000200080025294566
"2179",72700000,"control",0.6380009668,0.000160348609232755
"2180",72700000,"mig14",0.6213162615,0.00013914377939704
"2181",72700000,"mig5",0.5004779734,0.000183920714578463
"2182",72800000,"control",0.5906230679,0.000148441134805108
"2183",72800000,"mig14",0.6405423151,0.000143449454182271
"2184",72800000,"mig5",0.52524089969,0.000193020845534018
"2185",72900000,"control",0.6145956894,0.000154466167238003
"2186",72900000,"mig14",0.6073408367,0.00013601398295383
"2187",72900000,"mig5",0.49565139229,0.000182146993667848
"2188",7.3e+07,"control",0.6142777539,0.000154386260595374
"2189",7.3e+07,"mig14",0.6336135019,0.000141897746436755
"2190",7.3e+07,"mig5",0.5659235105,0.000207971303393854
"2191",73100000,"control",0.57467422208,0.000144432715728674
"2192",73100000,"mig14",0.61842369306,0.000138495988682639
"2193",73100000,"mig5",0.54307845675,0.000199575971663789
"2194",73200000,"control",0.5685017511,0.00014288139027828
"2195",73200000,"mig14",0.6343756212,0.000142068423057221
"2196",73200000,"mig5",0.4992712895,0.000183477270157422
"2197",73300000,"control",0.5825216778,0.000146405014637606
"2198",73300000,"mig14",0.6257843108,0.000140144399056718
"2199",73300000,"mig5",0.4905963198,0.000180289304430716
"2200",73400000,"control",0.5883173975,0.000147861651291402
"2201",73400000,"mig14",0.6887670635,0.000154249386790903
"2202",73400000,"mig5",0.5756713812,0.000211553549646537
"2203",73500000,"control",0.56604708668,0.000142264460138104
"2204",73500000,"mig14",0.65565988569,0.000146835034179993
"2205",73500000,"mig5",0.5503534184,0.000202249448252797
"2206",73600000,"control",0.60490083362,0.000152029561775111
"2207",73600000,"mig14",0.5944290519,0.00013312238869313
"2208",73600000,"mig5",0.5459896018,0.000200645788731262
"2209",73700000,"control",0.6239623249,0.00015682028118731
"2210",73700000,"mig14",0.6341528459,0.000142018532527842
"2211",73700000,"mig5",0.5299733732,0.00019475998283065
